Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Napheesa Collier,30:03:00,6,17,0.353,0,3,0,4,5,0.8,2,8,4,1,1,1,2,16,9,MIN,202406190MIN
Courtney Williams,26:30:00,2,7,0.286,0,1,0,3,3,1,0,1,6,0,1,2,3,7,4,MIN,202406190MIN
Kayla McBride,26:16:00,3,10,0.3,2,6,0.333,0,0,,0,4,1,0,0,1,1,8,1,MIN,202406190MIN
Alanna Smith,21:42,2,8,0.25,0,1,0,0,0,,4,9,1,0,1,1,4,4,-6,MIN,202406190MIN
Arike Ogunbowale,38:11:00,10,24,0.417,7,16,0.438,4,4,1,2,3,0,3,0,4,4,31,-11,DAL,202406200CHI
Jacy Sheldon,33:41:00,3,7,0.429,1,3,0.333,2,2,1,3,3,3,2,0,0,3,9,-3,DAL,202406200CHI
Sevgi Uzun,32:34:00,4,9,0.444,0,4,0,0,0,,0,5,6,1,0,2,3,8,-6,DAL,202406200CHI
Monique Billings,30:31:00,1,8,0.125,0,0,,2,2,1,2,9,1,1,1,2,2,4,-12,DAL,202406200CHI
Teaira McCowan,25:44:00,2,5,0.4,0,0,,3,4,0.75,0,5,2,1,0,3,3,7,-10,DAL,202406200CHI
Kamilla Cardoso,30:37:00,4,10,0.4,0,0,,1,4,0.25,3,11,0,1,2,2,3,9,15,CHI,202406200CHI
Marina Mabrey,29:24:00,8,14,0.571,3,6,0.5,0,0,,0,1,4,1,0,4,1,19,21,CHI,202406200CHI
Angel Reese,29:03:00,7,13,0.538,0,0,,2,3,0.667,8,18,3,2,0,2,2,16,17,CHI,202406200CHI
Chennedy Carter,26:54:00,8,10,0.8,0,0,,3,3,1,0,2,1,1,0,2,3,19,16,CHI,202406200CHI
Lindsay Allen,14:11,1,2,0.5,0,0,,0,0,,0,0,4,0,1,1,0,2,13,CHI,202406200CHI
Dearica Hamby,31:29:00,4,10,0.4,0,0,,1,5,0.2,1,11,1,0,0,3,1,9,-12,LAS,202406200NYL
Aari McDonald,28:35:00,6,12,0.5,1,4,0.25,2,2,1,0,3,3,1,0,2,1,15,-23,LAS,202406200NYL
Rickea Jackson,21:22,3,6,0.5,0,1,0,0,0,,0,1,1,0,0,2,1,6,-18,LAS,202406200NYL
Li Yueru,16:34,1,3,0.333,1,2,0.5,0,0,,0,2,2,1,0,2,5,3,2,LAS,202406200NYL
Kia Nurse,13:32,3,5,0.6,1,3,0.333,0,0,,0,0,1,1,0,1,2,7,-4,LAS,202406200NYL
Sabrina Ionescu,37:51:00,11,19,0.579,6,11,0.545,3,3,1,0,2,9,2,0,4,3,31,14,NYL,202406200NYL
Breanna Stewart,35:01:00,6,13,0.462,1,3,0.333,4,6,0.667,1,5,5,1,3,3,1,17,10,NYL,202406200NYL
Jonquel Jones,33:20:00,9,14,0.643,2,5,0.4,2,2,1,0,7,8,2,0,2,6,22,19,NYL,202406200NYL
Kayla Thornton,28:30:00,3,6,0.5,0,2,0,0,0,,1,4,0,0,0,0,2,6,0,NYL,202406200NYL
Leonie Fiebich,24:59:00,1,7,0.143,1,5,0.2,0,0,,2,9,5,2,0,2,0,3,12,NYL,202406200NYL
Caitlin Clark,34:57:00,6,12,0.5,4,8,0.5,0,1,0,0,4,7,0,1,7,4,16,13,IND,202406210ATL
NaLyssa Smith,32:37:00,10,17,0.588,1,2,0.5,0,4,0,0,9,2,0,2,1,4,21,11,IND,202406210ATL
Kelsey Mitchell,31:32:00,7,12,0.583,3,4,0.75,1,1,1,2,4,3,1,0,1,1,18,0,IND,202406210ATL
Aliyah Boston,25:51:00,5,5,1,0,0,,0,0,,3,10,1,1,3,2,5,10,9,IND,202406210ATL
Kristy Wallace,15:43,3,4,0.75,1,2,0.5,0,0,,0,0,2,0,0,0,2,7,1,IND,202406210ATL
Allisha Gray,34:06:00,4,17,0.235,2,6,0.333,9,10,0.9,0,4,3,1,0,4,3,19,-7,ATL,202406210ATL
Tina Charles,32:27:00,9,13,0.692,0,1,0,6,8,0.75,1,7,2,0,0,1,3,24,-7,ATL,202406210ATL
Haley Jones,31:18:00,3,7,0.429,0,2,0,6,7,0.857,1,3,5,3,1,2,3,12,-3,ATL,202406210ATL
Nia Coffey,24:36:00,0,3,0,0,2,0,0,0,,0,0,3,0,0,1,1,0,-6,ATL,202406210ATL
Cheyenne Parker,9:51,2,5,0.4,1,2,0.5,0,0,,0,3,1,1,1,1,1,5,-14,ATL,202406210ATL
Tyasha Harris,32:53:00,4,7,0.571,1,1,1,0,0,,0,3,2,3,0,5,0,9,-19,CON,202406210LVA
Alyssa Thomas,32:05:00,2,6,0.333,0,0,,2,3,0.667,0,3,7,0,0,0,4,6,-17,CON,202406210LVA
DiJonai Carrington,31:54:00,5,15,0.333,2,4,0.5,7,8,0.875,0,6,0,2,0,1,4,19,-10,CON,202406210LVA
DeWanna Bonner,31:20:00,2,10,0.2,1,4,0.25,1,3,0.333,1,5,1,1,0,3,3,6,-18,CON,202406210LVA
Brionna Jones,28:12:00,8,12,0.667,0,0,,2,3,0.667,1,7,1,1,1,1,3,18,0,CON,202406210LVA
A'ja Wilson,34:15:00,9,17,0.529,0,2,0,8,8,1,4,16,1,2,2,3,1,26,14,LVA,202406210LVA
Kelsey Plum,33:51:00,6,14,0.429,3,8,0.375,3,3,1,0,1,4,1,0,1,1,18,11,LVA,202406210LVA
Jackie Young,30:55:00,3,8,0.375,0,3,0,2,3,0.667,1,4,5,0,0,2,3,8,13,LVA,202406210LVA
Kiah Stokes,21:47,3,5,0.6,0,2,0,1,1,1,2,10,2,2,0,1,1,7,-2,LVA,202406210LVA
Tiffany Hayes,20:30,2,4,0.5,0,1,0,0,0,,0,0,2,0,0,1,5,4,-3,LVA,202406210LVA
Natasha Cloud,33:36:00,6,15,0.4,1,6,0.167,1,1,1,0,2,5,1,2,2,1,14,-12,PHO,202406220MIN
Kahleah Copper,31:56:00,3,17,0.176,1,7,0.143,2,4,0.5,1,5,1,2,0,4,4,9,-9,PHO,202406220MIN
Rebecca Allen,28:03:00,4,10,0.4,3,8,0.375,0,0,,2,6,2,1,1,0,2,11,-1,PHO,202406220MIN
Brittney Griner,27:56:00,4,14,0.286,0,2,0,2,3,0.667,3,7,0,0,1,1,1,10,-18,PHO,202406220MIN
Diana Taurasi,24:13:00,3,8,0.375,0,4,0,1,2,0.5,0,2,4,1,0,2,2,7,-15,PHO,202406220MIN
Napheesa Collier,36:55:00,9,16,0.563,2,2,1,3,4,0.75,2,14,2,0,1,4,1,23,17,MIN,202406220MIN
Bridget Carleton,32:58:00,1,4,0.25,0,3,0,2,2,1,0,3,0,2,0,2,1,4,12,MIN,202406220MIN
Kayla McBride,32:22:00,2,9,0.222,1,7,0.143,4,6,0.667,0,4,3,1,1,2,1,9,8,MIN,202406220MIN
Courtney Williams,24:08:00,6,12,0.5,0,0,,0,0,,1,9,4,0,0,1,2,12,14,MIN,202406220MIN
Alanna Smith,22:26,5,7,0.714,3,4,0.75,1,2,0.5,0,3,5,0,2,3,3,14,5,MIN,202406220MIN
Dearica Hamby,31:30:00,6,11,0.545,1,3,0.333,7,8,0.875,2,6,5,3,0,1,4,20,-14,LAS,202406220NYL
Kia Nurse,25:12:00,4,12,0.333,2,8,0.25,2,2,1,0,0,1,0,0,2,1,12,-16,LAS,202406220NYL
Aari McDonald,25:10:00,0,8,0,0,3,0,2,2,1,3,5,4,0,1,3,2,2,-11,LAS,202406220NYL
Rickea Jackson,16:11,3,9,0.333,0,2,0,1,1,1,0,1,0,1,0,1,0,7,-26,LAS,202406220NYL
Li Yueru,15:27,4,5,0.8,0,0,,0,0,,0,3,1,0,0,1,0,8,-14,LAS,202406220NYL
Breanna Stewart,36:46:00,12,19,0.632,3,9,0.333,6,7,0.857,0,3,7,3,6,4,2,33,18,NYL,202406220NYL
Sabrina Ionescu,34:58:00,9,17,0.529,4,9,0.444,2,2,1,0,6,9,0,0,1,1,24,21,NYL,202406220NYL
Jonquel Jones,31:44:00,6,10,0.6,2,4,0.5,0,0,,2,13,5,0,0,2,1,14,15,NYL,202406220NYL
Leonie Fiebich,30:57:00,3,9,0.333,1,5,0.2,0,0,,2,7,5,1,0,3,5,7,16,NYL,202406220NYL
Kayla Thornton,27:29:00,7,8,0.875,6,7,0.857,0,0,,2,6,0,1,0,0,4,20,16,NYL,202406220NYL
Jacy Sheldon,36:29:00,6,10,0.6,4,7,0.571,0,0,,1,5,3,1,1,2,4,16,-25,DAL,202406220WAS
Arike Ogunbowale,33:38:00,3,11,0.273,0,6,0,0,1,0,0,7,4,1,0,3,5,6,-23,DAL,202406220WAS
Sevgi Uzun,28:23:00,2,8,0.25,1,4,0.25,0,0,,1,4,5,2,0,2,2,5,-15,DAL,202406220WAS
Natasha Howard,22:46,6,15,0.4,0,4,0,7,9,0.778,2,6,2,1,1,1,0,19,-12,DAL,202406220WAS
Teaira McCowan,14:15,2,5,0.4,0,0,,2,2,1,0,2,1,0,0,2,2,6,-10,DAL,202406220WAS
Karlie Samuelson,29:58:00,5,12,0.417,3,5,0.6,4,4,1,2,4,3,1,0,0,2,17,18,WAS,202406220WAS
Stefanie Dolson,26:11:00,7,13,0.538,2,6,0.333,0,0,,1,10,1,0,0,3,4,16,21,WAS,202406220WAS
Ariel Atkins,25:00:00,3,9,0.333,0,2,0,1,1,1,0,7,3,1,0,1,1,7,22,WAS,202406220WAS
Julie Vanloo,24:42:00,1,5,0.2,1,4,0.25,0,0,,0,0,6,1,0,3,2,3,14,WAS,202406220WAS
Myisha Hines-Allen,13:46,1,3,0.333,1,1,1,0,0,,0,3,2,0,0,1,2,3,7,WAS,202406220WAS
Leonie Fiebich,33:02:00,4,7,0.571,1,3,0.333,0,0,,1,4,2,1,0,1,4,9,16,NYL,202406230ATL
Sabrina Ionescu,31:01:00,9,18,0.5,4,9,0.444,4,4,1,2,3,11,1,0,4,0,26,22,NYL,202406230ATL
Jonquel Jones,31:00:00,6,10,0.6,1,2,0.5,2,2,1,1,11,4,0,0,3,3,15,29,NYL,202406230ATL
Breanna Stewart,29:17:00,6,9,0.667,1,2,0.5,4,4,1,1,8,6,3,2,2,3,17,16,NYL,202406230ATL
Kayla Thornton,27:54:00,3,7,0.429,2,6,0.333,0,0,,0,6,0,1,0,1,2,8,22,NYL,202406230ATL
Haley Jones,38:36:00,3,9,0.333,0,1,0,1,2,0.5,2,8,4,1,1,3,3,7,-18,ATL,202406230ATL
Allisha Gray,27:41:00,3,11,0.273,0,3,0,2,2,1,1,3,4,0,0,1,2,8,-17,ATL,202406230ATL
Nia Coffey,22:56,4,10,0.4,1,3,0.333,0,1,0,2,3,3,2,1,0,2,9,-14,ATL,202406230ATL
Tina Charles,21:57,9,16,0.563,0,0,,1,1,1,5,7,3,0,0,2,2,19,-20,ATL,202406230ATL
Aerial Powers,17:28,0,2,0,0,0,,0,0,,0,1,3,0,0,0,0,0,-25,ATL,202406230ATL
Caitlin Clark,39:59:00,5,11,0.455,5,9,0.556,2,3,0.667,0,6,13,4,0,5,4,17,-1,IND,202406230CHI
Aliyah Boston,36:19:00,8,14,0.571,1,2,0.5,1,4,0.25,1,7,6,1,2,0,3,18,-1,IND,202406230CHI
Kelsey Mitchell,36:07:00,8,18,0.444,5,10,0.5,3,3,1,0,0,2,1,1,1,4,24,0,IND,202406230CHI
NaLyssa Smith,28:12:00,5,10,0.5,0,1,0,2,2,1,0,7,1,0,1,1,5,12,-4,IND,202406230CHI
